issue_id,affected_versions,component,title,symptoms,workaround,fixed_in_version,severity
KI-001,2.3.5|2.4.0|2.4.2,export,Export CSV encodage UTF-8,"Caractères accentués corrompus dans exports CSV","Utiliser l'option ?encoding=utf-8-sig dans l'URL d'export",3.0.0,LOW
KI-002,2.3.5|2.4.0|2.4.2,sdk,Incompatibilité Python 3.12,"AttributeError sur asyncio.coroutine deprecated","Rester sur Python 3.10 ou 3.11 en attendant le fix",3.1.0,HIGH
KI-003,2.4.0|2.4.2,api,Timeout export grands datasets,"Timeout sur exports > 10k lignes via /api/v2/export","Utiliser l'export asynchrone /api/v2/export/async avec polling",3.0.0,MEDIUM
KI-005,2.4.0|2.4.2|3.0.0,auth,SSO SAML audience mismatch,"invalid_audience lors du login SSO Okta/Azure AD","Mettre à jour l'Entity ID dans la config SAML à nexus://prod",3.1.0,HIGH
KI-006,3.0.0|3.0.1,auth,TOTP décalage horaire,"Code 2FA refusé malgré code correct","Synchroniser l'horloge serveur (ntpdate) — tolérance réduite à ±15s dans 3.0",3.1.0,HIGH
KI-007,3.0.0|3.1.0,core,ImportError DataConnector,"ImportError: cannot import name 'DataConnector' from 'nexus.core'","Remplacer par 'from nexus.connectors import DataConnector' (refactoring v3)",3.1.1,HIGH
KI-008,3.0.0|3.1.0,notifications,Emails alertes non envoyés,"Alertes configurées mais emails non reçus","Vérifier SMTP_TLS=true dans .env — changement de comportement dans v3",3.1.1,LOW
KI-009,3.0.0,frontend,Dashboard blanc après login,"TypeError: undefined is not a function en console JS","Vider le cache navigateur et localStorage — problème de migration de session",3.0.1,HIGH
KI-011,3.0.0,migration,Migration v2→v3 étape 3/7 échoue,"AlembicError: relation 'projects_v2' does not exist","Exécuter 'nexus db cleanup-legacy' avant la migration",3.0.1,CRITICAL
KI-013,3.1.0,api,Pagination cursor en boucle,"Le curseur de pagination retourne les mêmes résultats après page 2","Utiliser offset+limit en attendant le fix, ou passer à la v3.1.1",3.1.1,MEDIUM
KI-014,3.1.0,forms,Perte custom fields formulaire,"Custom fields perdus après F5 sans sauvegarde","Activer l'autosave dans Settings > Forms > AutosaveInterval",3.1.1,MEDIUM
KI-015,3.1.0,backup,Backup nocturne échoue depuis 3.1.0,"connection refused :5433 dans les logs backup","Mettre à jour DB_BACKUP_PORT=5432 dans .env (regression 3.1.0)",3.1.1,CRITICAL
KI-016,3.0.0|3.1.0,webhooks,Webhook events dupliqués,"Events envoyés 2-3x pour un seul événement","Activer la déduplication : WEBHOOK_DEDUP=true dans .env",3.1.1,MEDIUM
