nc_id,entity_id,regulation_id,article_ref,description,severity,detection_date,deadline,status,remediation_plan
NC-001,ENT-001,REG-001,Art.12,"Absence de registre de traitements à jour (dernière mise à jour > 18 mois)",HIGH,2023-09-15,2024-03-15,in_progress,"Mise à jour trimestrielle du registre, responsable désigné"
NC-002,ENT-001,REG-009,Art.5,"Délai de notification d'incident dépassé sur incident du 2023-08-10 (notifié à J+5 au lieu de J+2)",MEDIUM,2023-09-15,2024-01-15,closed,"Procédure de détection automatique mise en place"
NC-003,ENT-003,REG-001,Art.18,"Absence de DPO alors que volume traitement dépasse le seuil de 500 personnes",HIGH,2023-06-20,2023-12-20,in_progress,"Recrutement DPO en cours, DPO externe mandaté temporairement"
NC-004,ENT-005,REG-002,Art.7,"Pas de test de pénétration réalisé depuis 24 mois (obligation annuelle)",CRITICAL,2024-02-01,2024-05-01,open,"Appel d'offres pentest lancé"
NC-005,ENT-005,REG-002,Art.11,"Plan de réponse aux incidents cyber non testé depuis 18 mois",HIGH,2024-02-01,2024-04-01,open,"Exercice de simulation planifié Q2 2024"
NC-006,ENT-005,REG-003,Art.4,"Plan de continuité non mis à jour suite au changement de site principal en 2023",MEDIUM,2024-02-01,2024-06-01,open,"Révision PCA en cours"
NC-007,ENT-009,REG-001,Art.15,"Conservation des données clients au-delà de la durée légale (7 ans vs obligation 5 ans)",HIGH,2023-10-15,2024-04-15,open,"Procédure de purge automatique en développement"
NC-008,ENT-009,REG-003,Art.2,"RTO documenté à 72h alors que le règlement impose 24h pour les entités > 1000 employés",CRITICAL,2023-10-15,2024-01-15,in_progress,"Révision architecture de repli"
NC-009,ENT-013,REG-002,Art.9,"Segmentation réseau insuffisante entre SI administratif et SI opérationnel",CRITICAL,2023-12-10,2024-06-10,open,"Projet de refonte réseau budgété"
NC-010,ENT-013,REG-002,Art.7,"Audit de sécurité réalisé par une équipe interne (obligation d'auditeur externe indépendant)",HIGH,2023-12-10,2024-03-10,in_progress,"Sélection cabinet externe en cours"
NC-011,ENT-015,REG-007,Art.3,"Système IA de recrutement déployé sans documentation de biais algorithmique",HIGH,2024-03-15,2024-09-15,open,"Audit biais planifié avant entrée en vigueur REG-007"
NC-012,ENT-015,REG-007,Art.8,"Absence de mécanisme de supervision humaine sur les décisions automatisées",CRITICAL,2024-03-15,2024-09-15,open,"Refonte interface avec validation humaine obligatoire"
NC-013,ENT-020,REG-006,Art.5,"Contrat cloud (AWS) ne précise pas la localisation des données (obligation UE)",HIGH,2024-03-10,2024-06-10,open,"Renégociation contrat AWS en cours"
NC-014,ENT-020,REG-007,Art.6,"Modèle de scoring crédit automatisé sans explainability documentée",CRITICAL,2024-03-10,2024-09-10,open,"Projet XAI planifié"
NC-015,ENT-017,REG-003,Art.3,"Absence de site de repli identifié pour les systèmes critiques de gestion des vols",CRITICAL,2023-11-20,2024-05-20,in_progress,"Contrat hébergement secondaire signé, migration en cours"
NC-016,ENT-010,REG-002,Art.8,"Chiffrement des données at-rest non implémenté sur la base de sinistres",HIGH,2024-02-15,2024-08-15,open,"Projet chiffrement en phase de spécification"
NC-017,ENT-003,REG-010,Art.2,"Politique de rétention non formalisée, archivage ad hoc sans règles définies",MEDIUM,2023-06-20,2023-12-20,closed,"Politique de rétention adoptée et communiquée"
NC-018,ENT-007,REG-001,Art.22,"Consentement patients non enregistré pour traitement des données de santé à des fins statistiques",CRITICAL,2024-01-20,2024-07-20,open,"Révision formulaires consentement en cours"
